time,Measurement,DA,HA,RT,5%_fc,10%_fc,15%_fc,20%_fc,25%_fc,30%_fc,35%_fc,40%_fc,45%_fc,50%_fc,55%_fc,60%_fc,65%_fc,70%_fc,75%_fc,80%_fc,85%_fc,90%_fc,95%_fc
1/1/2022 10:45,0,0.04485,0.017578065,0,0,0,0,0,0,0,0,0.00907918,0.016194075,0.017578065,0.023574436,0.026547533,0.044380043,0.07235896,0.090227634,0.117290197,0.161851786,0.219816047,0.371154363
1/1/2022 11:00,0,0.0297,0.015699564,0,0,0,0,0,0,0,0,0.008367389,0.015460886,0.015699564,0.021659487,0.023789414,0.040028284,0.066703048,0.084327464,0.110270924,0.155577873,0.210770271,0.371056832
1/1/2022 11:15,0,0.0601,0.012137376,0,0,0,0,0,0,0,0,0.006275542,0.011910361,0.012137376,0.01721467,0.020609436,0.035886291,0.061739609,0.081819373,0.106942185,0.153387422,0.208714653,0.363316009
1/1/2022 11:30,0,0.0905,0.008575188,0,0,0,0,0,0,0,0,0.004183695,0.008359836,0.008575188,0.012769852,0.017429459,0.031744298,0.05677617,0.079311282,0.103613445,0.151196971,0.206659035,0.355575186
1/1/2022 11:45,0,0.1209,0.005013,0,0,0,0,0,0,0,0,0.002091847,0.004809311,0.005013,0.008325035,0.014249481,0.027602304,0.05181273,0.07680319,0.100284706,0.149006521,0.204603418,0.347834363
1/1/2022 12:00,0,0.1513,0.001450812,0,0,0,0,0,0,0,0,0,0.001258786,0.001450812,0.003880218,0.011069503,0.023460311,0.046849291,0.074295099,0.096955967,0.14681607,0.2025478,0.34009354
1/1/2022 12:15,0.0039,0.17205,0.010721363,0,0,0,0,0,0,0.000388029,0.001610694,0.003461466,0.007911518,0.010721363,0.014615897,0.024529465,0.036468772,0.057631326,0.086021688,0.108510144,0.154818281,0.207565643,0.346586929
1/1/2022 12:30,0.0294,0.1928,0.019991914,0.0039,0,0,0,0,0,0.000776059,0.003221388,0.006922932,0.014564251,0.019991914,0.025351576,0.037989427,0.049477233,0.068413361,0.097748276,0.12006432,0.162820492,0.212583487,0.353080317
1/1/2022 12:45,0.0848,0.21355,0.029262465,0.0294,0,0,0,0,0,0.001164088,0.004832082,0.010384399,0.021216983,0.029262465,0.036087255,0.051449389,0.062485694,0.079195397,0.109474864,0.131618497,0.170822703,0.21760133,0.359573706
1/1/2022 13:00,0.0858,0.2343,0.038533016,0.0848,0,0,0,0,0,0.001552118,0.006442776,0.013845865,0.027869716,0.038533016,0.046822934,0.064909351,0.075494155,0.089977432,0.121201453,0.143172673,0.178824914,0.222619173,0.366067094
1/1/2022 13:15,0.0904,0.248975,0.056582451,0.0858,0,0,0,0.003622975,0.008855645,0.014716893,0.023171834,0.030153997,0.045097651,0.056582451,0.066386467,0.086816106,0.100449616,0.119825138,0.151216627,0.175864344,0.212195594,0.261332641,0.404357574
1/1/2022 13:30,0.0778,0.26365,0.074631886,0.0904,0,0,0,0.007245949,0.01771129,0.027881668,0.039900891,0.046462129,0.062325586,0.074631886,0.085949999,0.108722861,0.125405078,0.149672844,0.181231802,0.208556016,0.245566275,0.300046109,0.442648054
1/1/2022 13:45,0.0931,0.278325,0.092681322,0.0778,0,0,0,0.010868924,0.026566936,0.041046444,0.056629948,0.062770262,0.079553521,0.092681322,0.105513532,0.130629616,0.150360539,0.17952055,0.211246976,0.241247687,0.278936955,0.338759576,0.480938535
1/1/2022 14:00,0.1234,0.293,0.110730757,0.0931,0,0,0,0.014491899,0.035422581,0.054211219,0.073359006,0.079078394,0.096781456,0.110730757,0.125077064,0.152536371,0.175316,0.209368256,0.241262151,0.273939359,0.312307635,0.377473044,0.519229015
1/1/2022 14:15,0.13,0.32345,0.155118783,0.1234,0.025930631,0.036824372,0.041918199,0.057713187,0.077379545,0.097245937,0.116261226,0.125496701,0.142859375,0.155118783,0.170088612,0.193046737,0.214675699,0.24378469,0.272746045,0.303358167,0.338856308,0.400198909,0.531554259
