time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
01/03/2021 20.00,0,0,0,0,0,0,0,0
01/03/2021 20.15,0,0,0,0,0,0,0,0
01/03/2021 20.30,0,0,0,0,0,0,0,0
01/03/2021 20.45,0,0,0,0,0,0,0,0
01/03/2021 21.00,0,0,0,0,0,0,0,0
01/03/2021 21.15,0,0,0,0,0,0,0,0
01/03/2021 21.30,0,0,0,0,0,0,0,0
01/03/2021 21.45,0,0,0,0,0,0,0,0
01/03/2021 22.00,0,0,0,0,0,0,0,0
01/03/2021 22.15,0,0,0,0,0,0,0,0
01/03/2021 22.30,0,0,0,0,0,0,0,0
01/03/2021 22.45,0,0,0,0,0,0,0,0
01/03/2021 23.00,0,0,0,0,0,0,0,0
01/03/2021 23.15,0,0,0,0,0,0,0,0
01/03/2021 23.30,0,0,0,0,0,0,0,0
01/03/2021 23.45,0,0,0,0,0,0,0,0
01/04/2021 00.00,0,0,0,0,0,0,0,0
01/04/2021 00.15,0,0,0,0,0,0,0,0
01/04/2021 00.30,0,0,0,0,0,0,0,0
01/04/2021 00.45,0,0,0,0,0,0,0,0
01/04/2021 01.00,0,0,0,0,0,0,0,0
01/04/2021 01.15,0,0,0,0,0,0,0,0
01/04/2021 01.30,0,0,0,0,0,0,0,0
01/04/2021 01.45,0,0,0,0,0,0,0,0
01/04/2021 02.00,0,0,0,0,0,0,0,0
01/04/2021 02.15,0,0,0,0,0,0,0,0
01/04/2021 02.30,0,0,0,0,0,0,0,0
01/04/2021 02.45,0,0,0,0,0,0,0,0
01/04/2021 03.00,0,0,0,0,0,0,0,0
01/04/2021 03.15,0,0,0,0,0,0,0,0
01/04/2021 03.30,0,0,0,0,0,0,0,0
01/04/2021 03.45,0,0,0,0,0,0,0,0
01/04/2021 04.00,0,0,0,0,0,0,0,0
01/04/2021 04.15,0,0,0,0,0,0,0,0
01/04/2021 04.30,0,0,0,0,0,0,0,0
01/04/2021 04.45,0,0,0,0,0,0,0,0
01/04/2021 05.00,0,0,0,0,0,0,0,0
01/04/2021 05.15,0,0,0,0,0,0,0,0
01/04/2021 05.30,0,0,0,0,0,0,0,0
