0,1,type
ems.b_E_SOC_t,"{'desc': 'Battery energy SOC time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219001,)), 'units': None, 'prom_name': 'b_E_SOC_t'}",output
ems.penalty_t,"{'desc': 'penalty for not reaching expected energy productin at peak hours', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': None, 'prom_name': 'penalty_t'}",output
ems_long_term_operation.hpp_t_with_deg,"{'desc': 'HPP power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'hpp_t_with_deg'}",output
ems_long_term_operation.hpp_curt_t_with_deg,"{'desc': 'HPP curtailed power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'hpp_curt_t_with_deg'}",output
ems_long_term_operation.b_t_with_deg,"{'desc': 'Battery charge/discharge power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'b_t_with_deg'}",output
ems_long_term_operation.b_E_SOC_t_with_deg,"{'desc': 'Battery energy SOC time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219001,)), 'units': None, 'prom_name': 'b_E_SOC_t_with_deg'}",output
ems_long_term_operation.penalty_t_with_deg,"{'desc': 'penalty for not reaching expected energy production at peak hours', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': None, 'prom_name': 'penalty_t_with_deg'}",output
ems_long_term_operation.total_curtailment_with_deg,"{'desc': 'total curtailment in the lifetime after degradation', 'val': array([1.]), 'units': 'GW*h', 'prom_name': 'total_curtailment_with_deg'}",output
ems_long_term_operation.total_curtailment,"{'desc': 'total curtailment in the lifetime', 'val': array([1.]), 'units': 'GW*h', 'prom_name': 'total_curtailment'}",output
finance.CAPEX,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'CAPEX'}",output
finance.OPEX,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'OPEX'}",output
