Datetime,AT,BE,DK,ES,FI,FR,GB,GB-NIR,IE,IT,NL,NO,PT,SE
2018-08-11 03:30:00+00:00,0.47120708748615725,0.5627676357899482,,,,,0.3840910330285569,0.3398176291793313,0.4450772986167616,,0.5191109703304825,,,
2018-08-11 03:45:00+00:00,0.47692875599852347,0.5610397415671249,,,,,,,,,0.5203252032520326,,,
2018-08-11 04:00:00+00:00,0.491140642303433,0.5670498084291188,0.4451305575158786,0.5733910009092473,0.5407481154885507,0.35014604410955424,0.3891262065330013,0.33495440729483283,0.44772172497965823,0.4803289323055789,0.5209059233449478,0.4212709474033516,0.5026946451095058,0.36783643346637546
2018-08-11 04:15:00+00:00,0.49870801033591733,0.5650965366989708,,,,,,,,,0.519163763066202,,,
2018-08-11 04:30:00+00:00,0.5109819121447028,0.56584779505672,,,,,0.39672441059385966,0.3343465045592705,0.4524003254678601,,0.5219089853236195,,,
2018-08-11 04:45:00+00:00,0.518641565153193,0.5696792126812411,,,,,,,,,0.5267659170098195,,,
2018-08-11 05:00:00+00:00,0.539405684754522,0.5830516114491774,0.497529992942837,0.5768559703143047,0.560019911819087,0.35703551623417856,0.4312435242579027,0.331306990881459,0.4458909682668836,0.5102839044493628,0.5317812269031781,0.4327194292351087,0.4957000343997248,0.3904661495594548
2018-08-11 05:15:00+00:00,0.5466961978589886,0.5877845391029975,,,,,,,,,0.5358462675535847,,,
2018-08-11 05:30:00+00:00,0.5562938353636028,0.591165201712869,,,,,0.45554687073964334,0.3465045592705167,0.45585842148087874,,0.538591489811002,,,
2018-08-11 05:45:00+00:00,0.5661683277962348,0.5952219968447149,,,,,,,,,0.5441875197972759,,,
2018-08-11 06:00:00+00:00,0.5765965300849022,0.6128765682518218,0.547635850388144,0.6095151500258029,0.5823495946522543,0.38233924565042543,0.4880119244542199,0.3689969604863222,0.4759967453213995,0.5567618102724566,0.5513673318551368,0.4547038327526132,0.5086572640752207,0.415392725355825
2018-08-11 06:15:00+00:00,0.5831487633813215,0.6215911652017129,,,,,,,,,0.5541653468482737,,,
2018-08-11 06:30:00+00:00,0.5963455149501661,0.6257230861693336,,,,,0.5129878392379983,0.40182370820668695,0.5067127746135069,,0.5618730862633302,,,
2018-08-11 06:45:00+00:00,0.5967146548541897,0.6369168356997972,,,,,,,,,0.567838665399641,,,
2018-08-11 07:00:00+00:00,0.6057585825027686,0.6563744271655022,0.5834509527170078,0.6637996707050353,0.5918077087185322,0.4096008127672184,0.5459436860378456,0.43647416413373863,0.5382424735557364,0.5883957872242997,0.5761799176433323,0.4729550356728057,0.5509689255819287,0.44321861585962796
2018-08-11 07:15:00+00:00,0.6162790697674418,0.6598302156111486,,,,,,,,,0.5776053215077606,,,
2018-08-11 07:30:00+00:00,0.621077888519749,0.6645631432649688,,,,,0.568538345481977,0.47477203647416416,0.5760781122864117,,0.582039911308204,,,
2018-08-11 07:45:00+00:00,0.6238464377999262,0.6667417925024416,,,,,,,,,0.5838876570583887,,,
2018-08-11 08:00:00+00:00,0.6229235880398671,0.6700473292765382,0.5998588567395907,0.7064114221119111,0.5932299815104537,0.42543284087541805,0.5847890498609419,0.502127659574468,0.6082180634662328,0.5997863084789743,0.582039911308204,0.4846938775510204,0.586859305125559,0.4533850440545222
2018-08-11 08:15:00+00:00,0.6203396087117017,0.6678686800390654,,,,,,,,,0.5824094604582409,,,
2018-08-11 08:30:00+00:00,0.6245847176079734,0.6710990909773871,,,,,0.5939323432643193,0.5112462006079027,0.6356794141578519,,0.5834125224369127,,,
2018-08-11 08:45:00+00:00,0.6342746400885936,0.6762076478100819,,,,,,,,,0.5864217083729278,,,
2018-08-11 09:00:00+00:00,0.627906976744186,0.6783111712117798,0.5935074100211715,0.7310102474627086,0.5956478452567202,0.4365448926893282,0.6059295075709378,0.5167173252279635,0.6521562245728234,0.6056819049072731,0.5871608066730017,0.4841961174713788,0.6164430684554524,0.4541381128096995
2018-08-11 09:15:00+00:00,0.6351052048726468,0.6809405754639021,,,,,,,,,0.5851546827156583,,,
2018-08-11 09:30:00+00:00,0.6341823551125877,0.6869506423258959,,,,,0.5957319179103121,0.5173252279635259,0.6609031733116355,,0.5817759476296062,,,
2018-08-11 09:45:00+00:00,0.63187523071244,0.6909323116219668,,,,,,,,,0.5769190159434062,,,
2018-08-11 10:00:00+00:00,0.6290143964562569,0.6876267748478702,0.6037402964008468,0.7521686776595483,0.5964300952922771,0.4558481141260636,0.6134186465017359,0.5051671732522797,0.6659886086248983,0.6166335953598413,0.5750712701932215,0.4809606769537083,0.6361655773420479,0.45538067625574213
2018-08-11 10:15:00+00:00,0.6211701734957549,0.6792126812410788,,,,,,,,,0.5732235244430366,,,
2018-08-11 10:30:00+00:00,0.6173864894795127,0.6835699797160243,,,,,0.6154908839728791,0.503951367781155,0.6657851912123678,,0.5694224474712279,,,
2018-08-11 10:45:00+00:00,0.6136950904392765,0.6727518593644354,,,,,,,,,0.5650406504065041,,,
2018-08-11 11:00:00+00:00,0.603359173126615,0.6672676733528661,0.5864502470007057,0.7683385348831494,0.5955056179775281,0.44543453414045636,0.6168360205769545,0.503951367781155,0.669039869812856,0.6157368541555369,0.5615563298490128,0.4822880371660859,0.6467148262813898,0.45654793282626704
2018-08-11 11:15:00+00:00,0.597360649686231,0.6599053414469236,,,,,,,,,0.5597613768345475,,,
2018-08-11 11:30:00+00:00,0.5946843853820598,0.6594545864322741,,,,,0.6151273335393452,0.4948328267477204,0.6720911310008136,,0.5551684088269454,,,
2018-08-11 11:45:00+00:00,0.5939461055740125,0.6593794605964991,,,,,,,,,0.5517896737408933,,,
2018-08-11 12:00:00+00:00,0.5890550018456995,0.6545714071069041,0.6065631616090331,0.769272356424938,0.5992035272365239,0.4347987131185709,0.6036754948830276,0.48814589665653496,0.6684296175752644,0.6152598641532473,0.5511561609122585,0.4759830761572922,0.6405228758169934,0.45097522403795465
2018-08-11 12:15:00+00:00,0.5871170173495754,0.6532191420629555,,,,,,,,,0.551948051948052,,,
2018-08-11 12:30:00+00:00,0.5897932816537468,0.6461573135001127,,,,,0.596331776125643,0.4790273556231003,0.6602929210740439,,0.5492556224263542,,,
2018-08-11 12:45:00+00:00,0.5837024732373569,0.650739989482383,,,,,,,,,0.5480413895048042,,,
2018-08-11 13:00:00+00:00,0.5799187892211148,0.644805048456164,0.6120324629498941,0.7537660039810287,0.5979945953633907,0.4240676459382805,0.5862432515950775,0.47112462006079026,0.6503254678600489,0.6172059833625887,0.5473022912047303,0.4688485150157624,0.6389175553262241,0.43994276677460653
2018-08-11 13:15:00+00:00,0.5784422296050203,0.6510404928254827,,,,,,,,,0.5451905817759476,,,
2018-08-11 13:30:00+00:00,0.5813953488372093,0.6499136052888589,,,,,0.5806445749186556,0.4765957446808511,0.6484947111472742,,0.546352021961778,,,
2018-08-11 13:45:00+00:00,0.5800110741971207,0.637067087371347,,,,,,,,,0.5473022912047303,,,
2018-08-11 14:00:00+00:00,0.5941306755260244,0.6461573135001127,0.6160903316866619,0.7412577101712825,0.6038259138102688,0.4146806078821488,0.5779724792321815,0.47477203647416416,0.6450366151342555,0.6237312065939098,0.5488332805405977,0.4695121951219512,0.6324962733631464,0.44291738835755706
2018-08-11 14:15:00+00:00,0.5903469915097822,0.6513409961685823,,,,,,,,,0.5526871502481259,,,
2018-08-11 14:30:00+00:00,0.591454411221853,0.6508151153181579,,,,,0.5792267282278735,0.4778115501519757,0.6491049633848658,,0.5567521908985323,,,
2018-08-11 14:45:00+00:00,0.5959763750461425,0.6460821876643378,,,,,,,,,0.5668356034209693,,,
2018-08-11 15:00:00+00:00,0.5976375046142488,0.6581774472241003,0.6282639378969654,0.7303958911852161,0.6037548001706727,0.41403505058629303,0.5832439605184229,0.4911854103343465,0.6521562245728234,0.6352934442494085,0.5732235244430366,0.47901111664177864,0.6269923173947942,0.45779049627230967
2018-08-11 15:15:00+00:00,0.598468069398302,0.6614829839981969,,,,,,,,,0.5791891035793475,,,
