Datetime,AT,BE,DE,DK,ES,FR,GB,NL,PT
2018-05-01 15:00:00+00:00,0.3067896060352054,0.3657233554862936,0.25483518664360544,0.08350355421194543,0.472849113353222,0.3914887869130151,0.3377310945121395,0.45034011144077,0.5669928825001862
2018-05-01 15:15:00+00:00,0.27829002514668905,,0.2312474015346489,,,,,0.4259081699109921,
2018-05-01 15:30:00+00:00,0.250628667225482,,0.2064676195105653,,,,0.2928204616146097,0.4014762283812143,
2018-05-01 15:45:00+00:00,0.22212908633696565,,0.18017491832497426,,,,,0.3770442868514364,
2018-05-01 16:00:00+00:00,0.19362950544844929,0.22299415215049234,0.15365298696339727,0.04572813683035106,0.3782198688650026,0.2846222085929885,0.245636864748444,0.3526123453216586,0.4552377636305842
2018-05-01 16:15:00+00:00,0.16680637049455155,,0.12816259139375713,,,,,0.3169549171430639,
2018-05-01 16:30:00+00:00,0.1399832355406538,,0.10335988635207494,,,,0.1984532678822783,0.28162765033649323,
2018-05-01 16:45:00+00:00,0.11316010058675607,,0.08004717745430155,,,,,0.2463003835299226,
2018-05-01 17:00:00+00:00,0.08382229673093043,0.08997441842937136,0.05950815368595842,0.021869978484080944,0.24645198839239565,0.1533708624019334,0.15565884281761638,0.2106429553513279,0.3073265768914053
2018-05-01 17:15:00+00:00,0.06454316848281642,,0.042911888944574025,,,,,0.17993794775309355,
2018-05-01 17:30:00+00:00,0.04526404023470243,,0.029708230807782017,,,,0.11286441775295447,0.14923294015485924,
2018-05-01 17:45:00+00:00,0.026823134953897737,,0.018453029166870773,,,,,0.11819777118460092,
2018-05-01 18:00:00+00:00,0.020117351215423303,0.01812434328073668,0.009994435672988395,0.003976359724378353,0.11334711702435073,0.04717053457018629,0.07751590913727223,0.0874927635863666,0.13640698332613174
2018-05-01 18:15:00+00:00,0.013411567476948869,,0.004447065414127864,,,,,0.06999421086909327,
2018-05-01 18:30:00+00:00,0.006705783738474434,,0.0014212270911130285,,,,0.042089022453705945,0.05249565815181996,
2018-05-01 18:45:00+00:00,0.0,,0.0003438452639789585,,,,,0.034997105434546635,
2018-05-01 19:00:00+00:00,0.0,0.0,2.2923017598597242e-05,0.0,0.055262290344768636,0.00039975029296768054,0.024453957179806803,0.017828714089297346,0.006573830521741289
2018-05-01 19:15:00+00:00,0.0,,0.0,,,,,0.013206454880960995,
2018-05-01 19:30:00+00:00,0.0,,0.0,,,,0.006740513838023671,0.008914357044648673,
2018-05-01 19:45:00+00:00,0.0,,0.0,,,,,0.004292097836312324,
2018-05-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.03862418142376303,0.0,0.0033702569190118352,0.0,0.0
2018-05-01 20:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-01 20:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-05-01 20:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.036544417808637326,0.0,0.0,0.0,0.0
2018-05-01 21:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-01 21:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-05-01 21:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.036544417808637326,0.0,0.0,0.0,0.0
2018-05-01 22:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-01 22:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-05-01 22:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-01 23:00:00+00:00,0.0,0.0,0.0,0.0,0.039366954143450775,0.0,0.0,0.0,0.0
2018-05-01 23:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-01 23:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-05-01 23:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.03431569462267388,0.0,0.0,0.0,0.0
2018-05-02 00:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-02 00:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-05-02 00:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.03238450834520738,0.0,0.0,0.0,0.0
2018-05-02 01:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-02 01:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-05-02 01:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.028967794161997424,0.0,0.0,0.0,0.0
2018-05-02 02:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-02 02:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-05-02 02:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-05-02 03:00:00+00:00,0.0,0.0,0.0,0.0009940574429029745,0.019460415565239298,0.0,0.0,0.0,0.0
2018-05-02 03:15:00+00:00,0.0,,2.291942628594465e-05,,,,,0.0,
2018-05-02 03:30:00+00:00,0.0016764459346186086,,0.00013751655771566788,,,,0.0,0.0,
2018-05-02 03:45:00+00:00,0.0016764459346186086,,0.0008709381988658964,,,,,0.0,
2018-05-02 04:00:00+00:00,0.010896898575020957,0.008411770806280198,0.003919221894896535,0.04075635515902196,0.013815409523414158,0.0,0.0,0.0,0.0
2018-05-02 04:15:00+00:00,0.020117351215423303,,0.009121931661805971,,,,,0.002967820156422643,
2018-05-02 04:30:00+00:00,0.031014249790444263,,0.017052053156742818,,,,0.002194173631700871,0.005605882517687215,
2018-05-02 04:45:00+00:00,0.041911148365465216,,0.02839716916828542,,,,,0.008573702674109855,
2018-05-02 05:00:00+00:00,0.07460184409052809,0.055647099180007466,0.04439492871587478,0.1322096399060956,0.03238450834520738,0.006260427964388364,0.002194173631700871,0.01121176503537443,0.0
2018-05-02 05:15:00+00:00,0.0997485331098072,,0.06412855474807312,,,,,0.03033771715454257,
2018-05-02 05:30:00+00:00,0.12657166806370496,,0.08677294791858642,,,,0.011676138254408205,0.04913391147855264,
2018-05-02 05:45:00+00:00,0.1533948030176027,,0.11102170092911587,,,,,0.06793010580256273,
2018-05-02 06:00:00+00:00,0.1860854987426656,0.20026485111874776,0.1372644440265225,0.2644192798121912,0.12612131919761954,0.08098596175208778,0.011676138254408205,0.08672630012657279,0.004928415773576968
2018-05-02 06:15:00+00:00,0.2196144174350377,,0.16563869376852194,,,,,0.11838304846174764,
2018-05-02 06:30:00+00:00,0.25230511316010057,,0.1945171708888122,,,,0.033461147883438284,0.1500397967969225,
2018-05-02 06:45:00+00:00,0.28499580888516346,,0.2228914206308117,,,,,0.18169654513209732,
2018-05-02 07:00:00+00:00,0.31852472757753564,0.3788532159290043,0.25057808758423283,0.4214803557908613,0.2870039913896361,0.216717368043827,0.033461147883438284,0.21302353567211416,0.04764135247791068
2018-05-02 07:15:00+00:00,0.3512154233025985,,0.2772104609285005,,,,,0.25226471329592465,
2018-05-02 07:30:00+00:00,0.38390611902766136,,0.302284313285324,,,,0.06794101923873767,0.2911761331245771,
2018-05-02 07:45:00+00:00,0.4157585917854149,,0.3261434360489923,,,,,0.3304173107483876,
2018-05-02 08:00:00+00:00,0.4442581726739313,0.5461180431154221,0.3485815543829321,0.5566721680256658,0.4642274705448306,0.3655024326442909,0.06794101923873767,0.36932873057703997,0.11335356279227025
2018-05-02 08:15:00+00:00,0.4719195305951383,,0.36927779631914015,,,,,0.4036235412734793,
2018-05-02 08:30:00+00:00,0.4995808885163454,,0.38827800071018825,,,,0.1198175529596654,0.4379183519699189,
2018-05-02 08:45:00+00:00,0.5264040234702431,,0.4060863949343673,,,,,0.4722131626663583,
2018-05-02 09:00:00+00:00,0.5473595976529757,0.6470592927907844,0.4209840220202313,0.6421611081153216,0.5670260016222779,0.4765917288634376,0.1198175529596654,0.5068377311579558,0.1872797993959248
2018-05-02 09:15:00+00:00,0.567476948868399,,0.4329250431152085,,,,,0.5328885969754434,
2018-05-02 09:30:00+00:00,0.5875943000838223,,0.4436742540433165,,,,0.18760184551042447,0.558939462792931,
2018-05-02 09:45:00+00:00,0.6068734283319362,,0.4519252475062566,,,,,0.5846605708152607,
2018-05-02 10:00:00+00:00,0.6135792120704108,0.6726181348560204,0.4579301371931741,0.668006601630799,0.6166426336741093,0.5558460828806946,0.18760184551042447,0.6107114366327483,0.23163554135811745
2018-05-02 10:15:00+00:00,0.6194467728415759,,0.461688923104069,,,,,0.6252207796197035,
2018-05-02 10:30:00+00:00,0.6253143336127409,,0.4633849606492289,,,,0.2658084628117626,0.6394003648115005,
2018-05-02 10:45:00+00:00,0.6295054484492875,,0.4628578138446521,,,,,0.6539097077984556,
2018-05-02 11:00:00+00:00,0.6202849958088852,0.6635593047569495,0.4598324495749074,0.6570719697588662,0.6254072483179958,0.5987366744665042,0.2658084628117626,0.6680892929902527,0.2283499308423995
2018-05-02 11:15:00+00:00,0.6102263202011735,,0.4544005455451386,,,,,0.6654512306289881,
2018-05-02 11:30:00+00:00,0.6010058675607711,,0.4476163953644989,,,,0.3413507264174641,0.6624834104725655,
2018-05-02 11:45:00+00:00,0.5917854149203688,,0.4401905012478529,,,,,0.6598453481113009,
2018-05-02 12:00:00+00:00,0.5859178541492037,0.6218239803719439,0.4305643422077561,0.627250246471777,0.5958452429937009,0.5934086506670248,0.3413507264174641,0.6568775279548783,0.2250643203266815
2018-05-02 12:15:00+00:00,0.5792120704107293,,0.4202506003790811,,,,,0.6436872161485554,
2018-05-02 12:30:00+00:00,0.5716680637049455,,0.4081720627263882,,,,0.3983992408416867,0.6308266621373907,
2018-05-02 12:45:00+00:00,0.5658005029337804,,0.3950850703171138,,,,,0.6176363503310678,
2018-05-02 13:00:00+00:00,0.5465213746856664,0.5529121656897253,0.3808062677409703,0.5596543403543747,0.5462286109418695,0.5583768941854473,0.3983992408416867,0.6044460385247449,0.2579204254838613
2018-05-02 13:15:00+00:00,0.528918692372171,,0.3661607543442517,,,,,0.5741083213702024,
2018-05-02 13:30:00+00:00,0.5088013411567477,,0.34965876741837154,,,,0.4225351507903963,0.5437706042156598,
2018-05-02 13:45:00+00:00,0.4895222129086337,,0.3321483257359098,,,,,0.5134328870611172,
