Iteration,Eval,New simulations,Time [min],NPV_over_CAPEX,clearance [m],sp [W/m2],p_rated [MW],Nwt,wind_MW_per_km2 [MW/km2],solar_MW [MW],surface_tilt [deg],surface_azimuth [deg],DC_AC_ratio,b_P [MW],b_E_h [h],cost_of_battery_P_fluct_in_peak_price_ratio
5,109,22,2.45,-0.777974083,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,2.296712898,210,1.479,20,4,8.75
5,110,22,2.45,-0.826632465,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,195.3956419,1.479,20,4,8.75
5,111,22,2.45,-0.833578868,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
5,112,22,2.45,-0.853806844,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,46.1097871,210,1.479,20,4,8.75
5,113,22,2.45,-0.831039955,59.70075,335.468,10.406375,26.450375,9.400375,182.2742645,24.20325,210,1.479,20,4,8.75
5,114,22,2.45,-0.829713679,59.70075,335.468,10.406375,26.450375,10,140.89525,24.20325,210,1.479,20,4,8.75
5,115,22,2.45,-0.776075469,59.70075,335.468,10.406375,37.40364355,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
5,116,22,2.45,-0.786011738,59.70075,335.468,14.05746452,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
5,117,22,2.45,-0.811349071,59.70075,360,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
5,118,22,2.45,-0.916390756,86.47540646,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
6,116,22,2.42,-0.710169047,10,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
6,117,22,2.42,-0.359013082,32.25025,355.372,18.128375,31.400375,9.994375,168.05275,54.98325,189.4635,1.479,20,4,8.75
6,118,22,2.42,-0.755248231,33.66925,248.604,12.691625,22.958375,8.054425,88.17825,35.36325,166.5765,1.479,20,4,8.75
6,119,22,2.42,-0.619935772,55.02575,209.62,12.495875,30.464375,8.891875,196.52775,53.31375,177.0795,1.479,20,4,8.75
6,120,22,2.42,-0.808213671,82.51475,291.812,7.855625,28.623875,7.275025,198.22775,76.21425,170.4735,1.479,20,4,8.75
6,121,22,2.42,-0.688877714,84.24725,304.204,6.426125,22.481375,7.373125,186.25125,83.61225,193.2735,1.479,20,4,8.75
6,122,22,2.42,-0.730548323,86.23825,288.636,5.863625,25.523375,7.761925,108.03425,66.66525,191.3625,1.479,20,4,8.75
6,123,22,2.42,0.835242766,86.47540646,200,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
6,124,22,2.42,-0.636793936,86.47540646,335.468,5,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
6,125,22,2.42,-0.414390166,86.47540646,335.468,10.406375,5,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
6,126,22,2.42,0.828636122,86.47540646,335.468,10.406375,26.450375,1,140.89525,24.20325,210,1.479,20,4,8.75
6,127,22,2.42,-0.921832699,86.47540646,335.468,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
6,128,22,2.42,-0.856814329,86.47540646,335.468,10.406375,26.450375,9.400375,140.89525,0,210,1.479,20,4,8.75
6,129,22,2.42,-0.871853402,86.47540646,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,150,1.479,20,4,8.75
6,130,22,2.42,-0.916390756,86.47540646,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
6,131,22,2.42,-0.891713102,86.47540646,335.468,10.406375,26.450375,9.400375,140.89525,90,210,1.479,20,4,8.75
6,132,22,2.42,-0.907670452,86.47540646,335.468,10.406375,26.450375,9.400375,200,24.20325,210,1.479,20,4,8.75
6,133,22,2.42,-0.91313462,86.47540646,335.468,10.406375,26.450375,10,140.89525,24.20325,210,1.479,20,4,8.75
6,134,22,2.42,-0.601860914,86.47540646,335.468,10.406375,50,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
6,135,22,2.42,0.93089611,86.47540646,335.468,20,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
6,136,22,2.42,-0.902630541,86.47540646,360,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
6,137,22,2.42,0.82351023,120,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
7,136,21,2.12,-0.690940182,10,335.468,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
7,137,21,2.12,-0.77300973,55.73525,207.196,8.956625,34.487375,9.577225,174.19825,14.84325,190.9395,1.479,20,4,8.75
7,138,21,2.12,-0.883321401,76.51975,344.868,8.045375,38.211125,9.745975,117.44375,43.85025,189.6285,1.479,20,4,8.75
7,139,21,2.12,-0.913058666,79.92975,344.596,8.881625,34.147625,9.681175,60.00925,47.99475,199.8255,1.479,20,4,8.75
7,140,21,2.12,-0.877044193,80.82625,339.756,9.146375,37.126625,9.256375,177.09675,73.18125,193.3575,1.479,20,4,8.75
7,141,21,2.12,-0.82862918,85.94675,350.22,7.251875,43.919375,9.296425,191.77625,68.51025,165.8175,1.479,20,4,8.75
7,142,21,2.12,0.960185272,86.47540646,200,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
7,143,21,2.12,-0.586785838,86.47540646,335.468,5,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
7,144,21,2.12,-0.263788662,86.47540646,335.468,10.406375,5,9.400375,30,24.20325,210,1.479,20,4,8.75
7,145,21,2.12,0.977801983,86.47540646,335.468,10.406375,26.450375,1,30,24.20325,210,1.479,20,4,8.75
7,146,21,2.12,-0.90716628,86.47540646,335.468,10.406375,26.450375,9.400375,30,0,210,1.479,20,4,8.75
7,147,21,2.12,-0.910813565,86.47540646,335.468,10.406375,26.450375,9.400375,30,24.20325,150,1.479,20,4,8.75
7,148,21,2.12,-0.921832699,86.47540646,335.468,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
7,149,21,2.12,-0.916338363,86.47540646,335.468,10.406375,26.450375,9.400375,30,90,210,1.479,20,4,8.75
7,150,21,2.12,-0.907670452,86.47540646,335.468,10.406375,26.450375,9.400375,200,24.20325,210,1.479,20,4,8.75
7,151,21,2.12,-0.917806903,86.47540646,335.468,10.406375,26.450375,10,30,24.20325,210,1.479,20,4,8.75
7,152,21,2.12,-0.611718126,86.47540646,335.468,10.406375,50,9.400375,30,24.20325,210,1.479,20,4,8.75
7,153,21,2.12,1.032821526,86.47540646,335.468,20,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
7,154,21,2.12,-0.906156852,86.47540646,360,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
7,155,21,2.12,-0.796201273,86.74425,357.788,6.132125,42.958625,9.993025,32.68175,83.43225,171.9045,1.479,20,4,8.75
7,156,21,2.12,0.991791172,120,335.468,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
8,156,21,2.39,-0.806579934,44.70775,358.452,6.849875,45.584375,9.301375,167.90825,39.85875,186.3855,1.479,20,4,8.75
8,157,21,2.39,-0.750079072,50.18575,355.18,5.751125,41.489375,8.221825,37.67975,88.58475,197.9775,1.479,20,4,8.75
8,158,21,2.39,-0.746538701,51.32425,201.644,9.735125,25.570625,8.621875,157.28325,80.45775,199.4325,1.479,20,4,8.75
8,159,21,2.39,-0.75835966,51.63775,220.348,9.246875,27.269375,8.299675,127.15925,67.16925,161.0415,1.479,20,4,8.75
8,160,21,2.39,-0.789817179,52.56725,349.58,5.181875,44.166875,9.714475,199.51125,55.46475,205.3875,1.479,20,4,8.75
8,161,21,2.39,-0.712231908,62.80275,358.788,5.787875,45.908375,9.941725,199.92775,77.59575,169.7175,1.479,20,4,8.75
8,162,21,2.39,-0.901424741,79.29662409,335.468,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
8,163,21,2.39,-0.924685073,86.47540646,325.0261347,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
8,164,21,2.39,-0.889647322,86.47540646,335.468,9.427450132,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
8,165,21,2.39,-0.888900429,86.47540646,335.468,10.406375,23.5136004,9.400375,30,24.20325,210,1.479,20,4,8.75
8,166,21,2.39,-0.92643672,86.47540646,335.468,10.406375,26.450375,8.813020079,30,24.20325,210,1.479,20,4,8.75
8,167,21,2.39,-0.919104814,86.47540646,335.468,10.406375,26.450375,9.400375,30,18.32970079,210,1.479,20,4,8.75
8,168,21,2.39,-0.921490128,86.47540646,335.468,10.406375,26.450375,9.400375,30,24.20325,206.0843005,1.479,20,4,8.75
8,169,21,2.39,-0.921832699,86.47540646,335.468,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
8,170,21,2.39,-0.923967063,86.47540646,335.468,10.406375,26.450375,9.400375,30,30.07679921,210,1.479,20,4,8.75
8,171,21,2.39,-0.92189399,86.47540646,335.468,10.406375,26.450375,9.400375,41.09448184,24.20325,210,1.479,20,4,8.75
